COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
49690,20250930,101744,12.829472322760319,3416,12,11229,109.08258081402957,73.73,68769,21.42199454238026,11590,28217,399,75015,28217_20250930
50373,20250930,62900,14.710889618027611,2310,110,9416,52.10926499577584,44.13,53265,0.0,10715,29399,138,27756,29399_20250930
205405,20250930,303205,12.957363636051634,13033,1613,37754,85.16332167899708,72.7,258845,20.15550807811429,73918,31823,616,220441,31823_20250930
665146,20250930,981479,11.838526628536867,41143,8233,106778,85.88303620505481,75.94,867807,19.599951252170307,97965,33708,4069,745299,33708_20250930
59986,20250930,113466,12.607019149075224,4955,763,15536,105.23761261261262,82.36,88800,17.22054023369128,16515,34334,131,93451,34334_20250930
377497,20250930,570381,10.945965065611674,23068,2354,70219,67.99549961734269,57.32,480848,14.260697995306856,75410,34643,2230,326955,34643_20250930
267816,20250930,757233,12.940006934967899,29916,5513,93557,61.528404461038875,53.45,657784,20.764185488978345,140103,35241,737,404724,35241_20250930
11844,20250930,19014,14.615225486139844,700,155,2886,65.40275049115914,52.52,15270,23.478055686644645,3791,35314,936,9987,35314_20250930
2077485,20250930,2765766,9.634034131535426,107852,27035,240015,84.53225729411137,76.15,2491359,13.925057627926549,56811,57369,11215,2106002,57369_20250930
2745302,20250930,5369753,11.545108219276862,202067,42325,571712,80.5044457974735,68.33,4557675,0.0,458687,57815,18273,3669131,57815_20250930
408800,20250930,559638,8.744191025648378,20704,3526,45462,86.87588753814642,71.16,458431,0.0,82260,57931,2090,398266,57931_20250930
1546386,20250930,3626177,12.138014506463444,160570,50538,443365,116.60715437193707,87.77,2729408,20.631318545691723,204090,58181,17259,3182685,58181_20250930
532207,20250930,809025,9.433441454880926,37096,3831,79691,88.27309936427763,75.17,688980,14.08360933367816,129043,58348,7401,608184,58348_20250930
208202,20250930,363392,8.582342039776949,16138,1614,31201,103.8586749341313,84.72,296423,11.868230886844728,12752,58377,360,307861,58377_20250930
129871,20250930,203971,11.756923076923078,10516,2279,22915,92.86307382072674,80.6,177037,14.936484455012069,19127,58413,1604,164402,58413_20250930
467822,20250930,664804,15.792220752320018,25409,2282,96308,79.47476296132342,66.43,555711,0.0,37168,58584,667,441650,58584_20250930
529983,20250930,822611,10.156920700284331,36130,8633,68145,81.42620276882843,73.43,741830,17.09148954994061,121689,58657,3864,604044,58657_20250930
228016,20250930,417813,12.714914688124074,18275,1844,53889,91.22554010516185,78.27,358495,49.803820156587186,61196,58687,877,327039,58687_20250930
114740,20250930,233786,11.300608310514033,9377,937,25115,86.69221320986466,65.51,176671,17.501722675712923,49150,59182,1797,153160,59182_20250930
47555,20250930,93837,20.592189395678265,4099,-903,18840,99.89694915254236,78.51,73750,0.0,1008,59292,70,73674,59292_20250930
648423,20250930,767393,13.27491082655444,29602,10453,97559,57.33430444282593,49.24,659040,23.84774078896435,63090,8033,3737,377856,8033_20250930
28845,20250630,36417,13.440296505815514,970,39,2701,47.01590499740513,42.29,32757,27.327341532639547,5518,10843,41,15401,10843_20250630
363255,20250630,493257,14.346192643426184,12729,1717,65733,66.17409988247724,56.51,421195,25.47676523838262,32639,12266,1705,278722,12266_20250630
278873,20250630,470337,6.09179672742232,10755,-964,23619,65.74640484237852,43.51,311252,10.705713566916659,18870,16249,3280,204637,16249_20250630
58589,20250630,109787,15.696216433892845,2944,710,17091,49.45276370843427,40.91,90820,0.0,15854,16584,288,44913,16584_20250630
407127,20250630,699717,10.154431926350037,15296,2955,59797,73.54654522101379,55.48,527863,0.0,33399,20179,20816,388225,20179_20250630
417874,20250630,522787,11.483611977505603,10271,1919,48189,47.68082730057602,42.55,466481,0.0,31432,20568,1678,222422,20568_20250630
45975,20250630,65621,15.557579467578423,1359,-62,8674,44.530135756167134,38.54,56793,35.22968082678577,7091,22229,246,25290,22229_20250630
5000254,20250630,7249115,9.643538362436672,191618,30448,668356,91.62159582045857,77.45,6127945,12.62149968183591,259929,24156,15389,5614521,24156_20250630
1114368,20250630,1378556,8.597714652091074,36621,8677,116651,89.71042298626196,81.61,1254036,12.206035312347465,173951,24823,3315,1125001,24823_20250630
52903,20250630,93352,9.582700820585769,2252,-10,7799,120.47756987395286,82.42,63865,16.963078893078183,1521,28217,263,76943,28217_20250630
51969,20250630,63934,14.650027129679868,1505,56,8892,55.10940919037199,47.27,54840,0.0,9323,29399,112,30222,29399_20250630
192138,20250630,285964,13.430519071706144,8342,978,37119,93.04752526910227,77.32,237642,20.245928880026586,55827,31823,345,221120,31823_20250630
660712,20250630,982762,11.338795336134877,27404,4722,101943,85.87169576288262,76.32,873424,18.917612646683132,96927,33708,2613,750024,33708_20250630
65360,20250630,111027,12.684348810003259,3251,489,15261,102.41060207928709,80.74,87530,17.197275631366406,17883,34334,87,89640,34334_20250630
351597,20250630,537237,11.370905543961527,15083,1389,69118,72.9892630175738,61.76,454597,13.708611828501315,35836,34643,1498,331807,34643_20250630
276637,20250630,715011,12.005231987792028,19243,3569,81320,61.47071543505498,54.07,628932,19.128583254200436,125425,35241,560,386609,35241_20250630
11966,20250630,18861,14.524914262658866,459,164,2855,68.43218938041394,54.87,15123,23.701855605800716,4177,35314,640,10349,35314_20250630
2005414,20250630,2717656,9.654179470231597,70132,17029,228063,88.55603104656645,76.85,2358264,13.665259165925253,54819,57369,7253,2088385,57369_20250630
2694644,20250630,5214894,12.003125953096141,129713,28236,553514,84.34267152438504,69.37,4288982,0.0,345138,57815,12262,3617442,57815_20250630
347534,20250630,503869,9.021436172908325,13319,2263,43917,94.23902188526557,72.48,387521,0.0,52909,57931,1610,365196,57931_20250630
1553146,20250630,3609416,11.843152166663485,106568,33220,433528,114.18058570260709,86.18,2724147,20.666377787037135,259846,58181,11140,3110447,58181_20250630
