COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID,deposits,loans,cash,tier1,assets,core_dep,net_income,equity,mortgages,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,INSTNAME,CITY,STALP,LTD_TREND,T1R_TREND,CBD_TREND,DAYS_TO_LTD_THRESHOLD,DAYS_TO_T1R_THRESHOLD,DAYS_TO_CBD_THRESHOLD,RISK_SCORE,SEVERITY
40312,20251231,97163,41.17491749174918,6371,1306,40547,131.0098673509958,74.61,55334,44.51168191939316,13508,23242,312,72493,23242_20251231,55334,72493,13508,41.17491749174918,97163,40312,1306,40547,0,0.41174917491749174,1.3100986735099578,89.1029023746702,0.271478656883652,1.3570332844009696,-0.04693461089101181,0.44522452083016023,-0.033475345912668486,112.96038143485256,-23.85747906018237,0.25656665958875996,0.014911997294892065,CALIFORNIA PACIFIC BANK,HAYWARD,CA,falling,falling,falling,,1545.0,7591.0,100.0,critical
291001,20251231,660393,19.28996982595215,36143,7605,123261,102.81834833326737,74.72,479891,26.49557227889777,66865,34759,660,493416,34759_20251231,479891,493416,66865,19.28996982595215,660393,291001,7605,123261,0,0.1928996982595215,1.0281834833326735,50.856809150411245,0.3936102156531379,1.0209597524626477,0.007223730870025813,0.20677693433039118,-0.013877236070869686,58.68154594884149,-7.824736798430244,0.40877754032507874,-0.015167324671940818,ASIAN BANK,PHILADELPHIA,PA,rising,falling,falling,0.0,3144.0,272.0,100.0,critical
475184,20251231,1135513,25.85490064680012,82653,29190,294224,112.6540678884992,79.97,806057,0.0,177244,58060,1254,908056,58060_20251231,806057,908056,177244,25.85490064680012,1135513,475184,29190,294224,0,0.2585490064680012,1.126540678884992,80.25990717778024,0.4104833777263891,1.0618236727861698,0.06471700609882225,0.24821797451117142,0.0103310319568298,92.90657573305896,-12.646668555278723,0.4194909412727319,-0.0090075635463428,FIRST GENERAL BANK,ROWLAND HEIGHTS,CA,rising,rising,falling,0.0,0.0,1995.0,100.0,critical
367943,20251231,835864,23.1193722182614,49710,8459,191053,110.48666004032246,84.31,637858,30.928456466757392,65607,34496,182,704748,34496_20251231,637858,704748,65607,23.1193722182614,835864,367943,8459,191053,0,0.231193722182614,1.1048666004032246,37.54214104079591,0.4231584459237009,1.0921592863647613,0.012707314038463258,0.2261402748707306,0.005053447311883397,50.52340405755515,-12.981263016759236,0.4230205553003468,0.00013789062335406443,FIRST COMMERCIAL BANK (USA),ALHAMBRA,CA,rising,rising,falling,0.0,0.0,311.0,99.6,critical
70427,20251231,125534,18.52875474897683,6663,182,21561,101.28381574986022,75.04,93004,0.0,19151,32277,91,94198,32277_20251231,93004,94198,19151,18.52875474897683,125534,70427,182,21561,0,0.1852875474897683,1.0128381574986023,75.15929422390435,0.2427529998709733,0.9025778602890585,0.11026029720954378,0.1872862576734147,-0.0019987101836463905,91.26942523402771,-16.110131010123354,0.3415373405710939,-0.09878434070012063,EASTERN INTERNATIONAL BANK,LOS ANGELES,CA,rising,falling,falling,28.0,4417.0,1990.0,97.7,critical
256622,20251231,520138,25.23818690167393,35714,3432,133067,94.3507922477489,69.16,381257,42.1365708799842,132325,23086,-58,359719,23086_20251231,381257,359719,132325,25.23818690167393,520138,256622,3432,133067,0,0.2523818690167393,0.9435079224774889,126.68259205732615,0.3269054732109837,0.9257966828413977,0.017711239636091225,0.24982309292161925,0.0025587760951200633,131.53683264512406,-4.854240587797918,0.26613146710907143,0.06077400610191225,"NEW OMNI BANK, NATIONAL ASSOCIATION",ALHAMBRA,CA,rising,rising,falling,236.0,0.0,1698.0,93.3,critical
501403,20251231,1107990,21.44774448545214,57456,12510,256248,99.75688408837529,75.1,834170,0.0,107859,34010,759,832142,34010_20251231,834170,832142,107859,21.44774448545214,1107990,501403,12510,256248,0,0.21447744485452142,0.9975688408837527,47.19485836220434,0.3989198844360262,1.0084183076275388,-0.010849466743786063,0.2314165394257304,-0.016939094571208985,46.725545665807815,0.4693126963965284,0.40180534007877405,-0.002885455642747836,EVERTRUST BANK,CITY OF INDUSTRY,CA,falling,falling,rising,0.0,1958.0,0.0,89.6,critical
113583,20251231,285956,25.95890280761116,15207,2129,68281,99.927513816236,75.69,216593,0.0,61588,59296,163,216436,59296_20251231,216593,216436,61588,25.95890280761116,285956,113583,2129,68281,0,0.2595890280761116,0.9992751381623598,103.78738001689806,0.4755924706707973,1.0553267927325205,-0.0560516545701607,0.24632412998009906,0.013264898096012556,90.04608844332957,13.741291573568489,0.47956459913222854,-0.003972128461431246,BANK IRVINE,IRVINE,CA,falling,falling,rising,,2910.0,0.0,87.8,critical
54106,20251231,72205,19.31603838058008,4825,41,14132,89.99478532939335,71.7,57530,0.0,14621,21448,713,51774,21448_20251231,57530,51774,14621,19.31603838058008,72205,54106,41,14132,0,0.19316038380580078,0.8999478532939336,92.76316704328175,0.059516773857118024,0.7333781675706494,0.16656968572328412,0.1870591893546606,0.006101194451140185,159.5408719582454,-66.77770491496364,0.059716572418693395,-0.00019979856157537057,REDEMPTION BANK,SALT LAKE CITY,UT,rising,rising,falling,133.0,0.0,261.0,86.2,critical
57340,20251231,106369,19.61679976585692,5730,-1052,18805,100.0881476240736,81.13,86219,0.0,954,59292,109,86295,59292_20251231,86219,86295,954,19.61679976585692,106369,57340,-1052,18805,0,0.1961679976585692,1.0008814762407359,4.038668970876489,0.33494937310801565,1.0283574919855658,-0.02747601574482994,0.2500366205790243,-0.053868622920455106,4.278091652482892,-0.23942268160640268,0.32662947334411807,0.008319899763897576,ADELPHI BANK,COLUMBUS,OH,falling,falling,rising,0.0,537.0,,81.8,critical
