COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID,deposits,loans,cash,tier1,assets,core_dep,net_income,equity,mortgages,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,INSTNAME,CITY,STALP,LTD_TREND,T1R_TREND,CBD_TREND,DAYS_TO_LTD_THRESHOLD,DAYS_TO_T1R_THRESHOLD,DAYS_TO_CBD_THRESHOLD,RISK_SCORE,SEVERITY
96598,20251231,147425,23.523292567450422,8150,1254,35033,86.67271936295371,62.16,105738,32.3060405519572,17984,25749,9285,91646,25749_20251231,105738,91646,17984,23.523292567450422,147425,96598,1254,35033,0,0.2352329256745042,0.8667271936295372,62.07947946811932,0.08644006884942027,0.8222345549889911,0.04449263864054609,0.21935164221545372,0.015881283459050488,70.53085179646166,-8.451372328342345,0.08162535329395944,0.004814715555460827,"EASTBANK, NATIONAL ASSOCIATION",NEW YORK,NY,rising,rising,rising,1240.0,0.0,0.0,79.9,critical
162485,20251231,234246,12.62728694852864,15284,1540,29905,93.31961374069972,78.01,195827,0.0,36455,25869,503,182745,25869_20251231,195827,182745,36455,12.62728694852864,234246,162485,1540,29905,0,0.1262728694852864,0.933196137406997,67.94811236448497,0.17026252763919172,0.9500884694409539,-0.016892332033956903,0.12139686745655695,0.004876002028729454,52.050516247349584,15.897596117135386,0.14439841913118043,0.025864108508011296,METROPOLITAN BANK,OAKLAND,CA,falling,rising,rising,0.0,0.0,0.0,52.0,medium
559589,20251231,772771,14.232995318302862,37232,3999,103451,78.54440529780001,65.66,646004,0.0,27939,58584,1051,507400,58584_20251231,646004,507400,27939,14.232995318302862,772771,559589,3999,103451,0,0.14232995318302863,0.7854440529780001,15.785869746936552,0.13376852155714206,0.7975471815107237,-0.01210312853272355,0.14534825680655303,-0.0030183036235243987,20.114477016072502,-4.328607269135951,0.1480531132091209,-0.014284591651978845,AMERICAN PRIDE BANK,MACON,GA,falling,stable,falling,0.0,29132.0,374.0,38.4,medium
1025166,20251231,1360197,10.805603282984926,80272,9805,154143,93.92773878243092,77.54,1122926,0.0,28614,25738,2371,1054739,25738_20251231,1122926,1054739,28614,10.805603282984926,1360197,1025166,9805,154143,0,0.10805603282984926,0.939277387824309,9.300799874613288,0.08705827454346947,0.9234607700321701,0.015816617792138943,0.1049540990863914,0.003101933743457852,8.479392918026235,0.8214069565870528,0.08578823457170694,0.0012700399717625321,SOVEREIGN BANK,SHAWNEE,OK,rising,rising,rising,561.0,0.0,0.0,38.4,medium
50514,20251231,120324,12.305329525246538,6717,1039,15734,104.69113269452232,80.09,92046,17.125477928397636,20614,34334,180,96364,34334_20251231,92046,96364,20614,12.305329525246538,120324,50514,1039,15734,0,0.12305329525246539,1.046911326945223,81.74293288138539,0.4512091780196858,1.0391518105174873,0.0077595164277357576,0.12566476477140304,-0.002611469518937648,69.169148777049,12.573784104336383,0.27548433613492346,0.17572484188476234,AMERICAN METRO BANK,CHICAGO,IL,rising,stable,rising,0.0,20456.0,0.0,67.6,high
57340,20251231,106369,19.61679976585692,5730,-1052,18805,100.0881476240736,81.13,86219,0.0,954,59292,109,86295,59292_20251231,86219,86295,954,19.61679976585692,106369,57340,-1052,18805,0,0.1961679976585692,1.0008814762407359,4.038668970876489,0.33494937310801565,1.0283574919855658,-0.02747601574482994,0.2500366205790243,-0.053868622920455106,4.278091652482892,-0.23942268160640268,0.32662947334411807,0.008319899763897576,ADELPHI BANK,COLUMBUS,OH,falling,falling,rising,0.0,537.0,,81.8,critical
119881,20251231,147005,8.100502512562814,9280,-4266,12519,93.11917477853214,79.59,125639,0.0,16483,59314,603,116994,59314_20251231,125639,116994,16483,8.100502512562814,147005,119881,-4266,12519,0,0.08100502512562814,0.9311917477853214,47.88556897141812,0.04582971847913466,0.7813145702680139,0.14987717751730756,0.13140192801952896,-0.05039690289390082,87.25944370452758,-39.37387473310947,0.07890192070013859,-0.033072202221003925,ICON BUSINESS BANK,RIVERSIDE,CA,rising,falling,falling,183.0,58.0,233.0,46.9,medium
8751820,20251231,12384752,10.30773140776464,781106,189536,1331724,78.07335221233352,64.71,10265021,14.696986089356209,981759,31469,89395,8014246,31469_20251231,10265021,8014246,981759,10.30773140776464,12384752,8751820,189536,1331724,0,0.1030773140776464,0.7807335221233351,34.90904061472451,0.14741333700145376,0.7873594688249184,-0.00662594670158323,0.10145418917108442,0.0016231249065619818,22.85635140538907,12.05268920933544,0.13331926929063995,0.014094067710813812,ORIENTAL BANK,SAN JUAN,PR,rising,rising,rising,8024.0,0.0,0.0,25.4,low
3032800,20251231,5477082,11.30071299101568,276629,57159,587670,83.74350851048236,70.1,4584464,0.0,281647,57815,25370,3839191,57815_20251231,4584464,3839191,281647,11.30071299101568,5477082,3032800,57159,587670,0,0.1130071299101568,0.8374350851048236,22.42381115873088,0.3384613773823941,0.8555002957119653,-0.018065210607141724,0.12276949074454438,-0.009762360834387585,32.15681196437329,-9.733000805642408,0.377678966135333,-0.0392175887529389,BANESCO USA,MIAMI,FL,falling,falling,falling,0.0,1054.0,306.0,43.3,medium
1985346,20251231,3014461,9.124813239255824,136202,23235,224177,61.96579527607338,56.32,2739797,15.394179449225527,424758,20884,47484,1697737,20884_20251231,2739797,1697737,424758,9.124813239255824,3014461,1985346,23235,224177,0,0.09124813239255823,0.6196579527607338,56.586918665871956,0.275367481605389,0.6773651389954795,-0.05770718623474569,0.09533595519016219,-0.00408782279760396,26.83760757776874,29.749311088103216,0.22039685397602296,0.054970627629366026,BANK OF GUAM,HAGATNA,GU,falling,stable,rising,0.0,3480.0,0.0,18.7,low
231761,20251231,418375,12.59973420091172,23749,2286,52366,89.4679111046933,77.01,360109,47.086899275839365,65649,58687,1029,322182,58687_20251231,360109,322182,65649,12.59973420091172,418375,231761,2286,52366,0,0.12599734200911722,0.894679111046933,66.54064463815122,0.356414307890111,0.935294018480122,-0.04061490743318896,0.12183117385985012,0.0041661681492670966,51.8823121561311,14.658332482020121,0.3701709895242352,-0.01375668163412419,TOUCHMARK NATIONAL BANK,ALPHARETTA,GA,falling,rising,rising,0.0,0.0,0.0,50.5,medium
270780,20251231,392959,13.137461813364627,22443,5774,51894,58.65233248997076,49.97,334771,0.0,118766,27026,1482,196351,27026_20251231,334771,196351,118766,13.137461813364627,392959,270780,5774,51894,0,0.13137461813364626,0.5865233248997076,129.49027842913515,0.1911485761908887,0.5170195678749397,0.06950375702476785,0.11059917783326903,0.02077544030037723,152.47501615428342,-22.98473772514828,0.15817420827631729,0.03297436791457142,"NATIVE AMERICAN BANK, NATIONAL ASSOCIATION",DENVER,CO,rising,rising,falling,1354.0,0.0,1031.0,46.4,medium
1816787,20251231,3280733,11.547316928308671,197536,38378,378457,99.75534228736608,85.32,2805961,14.72350821095332,207142,57463,11705,2799096,57463_20251231,2805961,2799096,207142,11.547316928308671,3280733,1816787,38378,378457,0,0.11547316928308671,0.9975534228736608,26.945075145378002,0.35252592605528016,0.9746801117395133,0.022873311134147478,0.11682972745877461,-0.0013565581756879025,34.120760575778526,-7.175685430400524,0.40271376642980566,-0.050187840374525505,PCB BANK,LOS ANGELES,CA,falling,falling,rising,0.0,4504.0,0.0,58.8,high
54106,20251231,72205,19.31603838058008,4825,41,14132,89.99478532939335,71.7,57530,0.0,14621,21448,713,51774,21448_20251231,57530,51774,14621,19.31603838058008,72205,54106,41,14132,0,0.19316038380580078,0.8999478532939336,92.76316704328175,0.059516773857118024,0.7333781675706494,0.16656968572328412,0.1870591893546606,0.006101194451140185,159.5408719582454,-66.77770491496364,0.059716572418693395,-0.00019979856157537057,REDEMPTION BANK,SALT LAKE CITY,UT,rising,rising,falling,133.0,0.0,261.0,86.2,critical
