COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
7451,19860930,49,10471,0.0,31559,126,1279,8025,9152,31559_19860930,9152,8025,49,10471,7451,0.0,0.8768575174825175,1.9542176573426573,0.18586101398601398,0.9038375249697055,-0.026980007487187985,0.0,0.0,2.056209220565188,-0.10199156322253056,0.1934651189457035,-0.007604104959689523,40.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
7570,19861231,74,10819,0.0,31559,76,1231,8109,9569,31559_19861231,9569,8109,74,10819,7570,0.0,0.8474239732469433,2.82265649493155,0.20890375169819209,0.8896488116766912,-0.04222483842974789,0.0,0.0,1.9506466717570317,0.8720098231745181,0.19258122699400332,0.016322524704188768,38.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
8463,19870331,42,11497,0.0,31559,31,1261,8370,10227,31559_19870331,10227,8370,42,11497,8463,0.0,0.8184218245819889,1.4989733059548254,0.17248459958932238,0.8744062231037061,-0.055984398521717216,0.0,0.0,2.0301671541358477,-0.5311938481810223,0.19754618596155224,-0.025061586372229855,35.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
8705,19870630,89,11835,0.0,31559,76,1306,8455,10487,31559_19870630,10487,8455,89,11835,8705,0.0,0.8062362925526843,3.0976447029655767,0.16992466863736055,0.8542667526879296,-0.04803046013524537,0.0,0.0,1.9445169387476622,1.1531277642179145,0.19057763970460545,-0.020652971067244896,34.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
8837,19870930,75,12026,0.0,31559,116,1346,8547,10638,31559_19870930,10638,8547,75,12026,8837,0.0,0.8034404963338974,2.5733220530174843,0.16929874036473022,0.8372349019660335,-0.03379440563213609,0.0,0.0,2.343373040298652,0.22994901271883217,0.18429350847772225,-0.014994768112992024,34.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
8830,19871231,47,12207,0.0,31559,114,1344,8540,10849,31559_19871231,10849,8540,47,12207,8830,0.0,0.7871693243616923,1.5812517282698866,0.18610010139183336,0.8188806466788785,-0.03171132231718621,0.0,0.0,2.498149139217359,-0.9168974109474726,0.1801529400724013,0.0059471613194320705,32.9,medium,Dwelling House Savings and Loan,Pittsburgh,PA
9334,19880331,87,12646,0.0,31559,11,1404,8700,11219,31559_19880331,11219,8700,87,12646,9334,0.0,0.7754701845084232,2.830466173455745,0.16801853997682503,0.8038169844575657,-0.028346799949142465,0.0,0.0,2.1877979475519433,0.6426682259038015,0.17445202749581162,-0.0064334875189865914,31.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
9568,19880630,57,12891,0.0,31559,53,1385,8571,11467,31559_19880630,11467,8571,57,12891,9568,0.0,0.7474492020580797,1.8143367925351006,0.16560565099851748,0.7930790744391742,-0.045629872381094505,0.0,0.0,2.5206711644271733,-0.7063343718920727,0.17333551259268729,-0.007729861594169801,29.4,low,Dwelling House Savings and Loan,Pittsburgh,PA
9647,19880930,63,13091,0.0,31559,120,1443,8761,11607,31559_19880930,11607,8761,63,13091,9647,0.0,0.7548031360385974,1.9811320754716981,0.1688636167829758,0.7783823018155231,-0.02357916577692576,0.0,0.0,2.199844186819554,-0.21871211134785606,0.1722557581829765,-0.0033921414000007144,30.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
9764,19881231,169,12930,0.0,31559,86,1413,8500,11498,31559_19881231,11498,8500,169,12930,9764,0.0,0.7392590015654896,5.364846060184379,0.1508088363193599,0.7662229617416981,-0.0269639601762085,0.0,0.0,2.0517966924331077,3.3130493677512716,0.17214697728753792,-0.021338140968178015,28.7,low,Dwelling House Savings and Loan,Pittsburgh,PA
9655,19890331,10,12810,0.0,31559,73,1486,8486,11311,31559_19890331,11311,8486,10,12810,9655,0.0,0.7502431261603748,0.32269472195208204,0.1464061533020953,0.7542453810426475,-0.004002254882272682,0.0,0.0,2.9976952754117305,-2.6750005534596486,0.16332416101941954,-0.01691800771732424,29.4,low,Dwelling House Savings and Loan,Pittsburgh,PA
