COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME
1089098,20211231,154197,1630029,10.910594465383802,31189,28055,169797,1305043,1338489,31189_20211231,1338489,1305043,154197,1630029,1089098,0.10910594465383802,0.9750121218777293,42.04883641180466,0.18632278636581998,1.0700527392278025,-0.09504061735007319,0.10545885392232963,0.0036470907315083873,23.297572039113966,18.75126437269069,0.16029879280666395,0.026023993559156022,48.0,medium,"Ponce Bank, National Association"
1009752,20220331,71785,1590165,14.881469960401217,31189,-4399,241636,1308418,1225399,31189_20220331,1225399,1308418,71785,1590165,1009752,0.14881469960401217,1.0677485455757676,21.38203556555865,0.17598104780565352,1.0355820761422228,0.03216646943354484,0.10476551003824536,0.04404918956576681,27.26580222868033,-5.88376666312168,0.16145598164179165,0.014525066163861872,73.6,high,"Ponce Bank, National Association"
1011573,20220630,277297,2033683,28.789631721706314,31189,-2316,461046,1333553,1188224,31189_20220630,1188224,1333553,277297,2033683,1011573,0.28789631721706316,1.1223077466874933,85.180407902887,0.14866809625121188,1.0360052809641442,0.0863024657233491,0.11501199898685396,0.1728843182302092,25.353937467675255,59.826470435211746,0.16213596352784243,-0.013467867276630546,100.0,critical,"Ponce Bank, National Association"
1138385,20220930,65011,2150148,22.90617374334952,31189,-13750,446546,1395910,1392263,31189_20220930,1392263,1395910,65011,2150148,1138385,0.2290617374334952,1.0026194763489369,17.043486036761735,0.1823491682246817,1.0481066405839727,-0.04548716423503585,0.16141346604927653,0.06764827138421867,41.840872229592996,-24.79738619283126,0.15883420799067513,0.023514960234006566,82.2,critical,"Ponce Bank, National Association"
1041917,20221231,55855,2300787,20.47028014801896,31189,-22146,438975,1495105,1290454,31189_20221231,1290454,1495105,55855,2300787,1041917,0.2047028014801896,1.158588372774233,15.798374060601928,0.19259655904046172,1.0419219726224818,0.11666640015175123,0.19371967472710214,0.010983126753087463,41.413691479253,-25.615317418651074,0.17333027466184178,0.019266284378619936,100.0,critical,"Ponce Bank, National Association"
1072866,20230331,185932,2527056,19.511339371540007,31189,1147,442729,1617414,1378381,31189_20230331,1378381,1617414,185932,2527056,1072866,0.19511339371540007,1.1734157682092252,49.235429101242694,0.22164771568963879,1.0878160353466078,0.08559973286261746,0.21761888893369002,-0.022505495218289956,34.851075891452325,14.384353209790369,0.1748987178305022,0.04674899785913658,100.0,critical,"Ponce Bank, National Association"
1309053,20230630,244785,2658705,17.949935262797155,31189,1649,442554,1705117,1474947,31189_20230630,1474947,1705117,244785,2658705,1309053,0.17949935262797154,1.1560530649575884,60.57609188669152,0.11247454993298064,1.1142328410049722,0.0418202239526162,0.229193562461537,-0.049694209833565456,41.81442427537334,18.76166761131818,0.18631538480149853,-0.07384083486851789,100.0,critical,"Ponce Bank, National Association"
1263646,20230930,118008,2610701,17.50739688811586,31189,4980,443274,1801710,1428837,31189_20230930,1428837,1801710,118008,2610701,1263646,0.1750739688811586,1.2609625870550665,30.14543996271093,0.11561220769059032,1.1226691705724958,0.13829341648257065,0.2020943213142641,-0.02702035243310552,35.663345271324474,-5.517905308613543,0.1772669982219407,-0.06165479053135038,100.0,critical,"Ponce Bank, National Association"
1264483,20231231,139439,2736531,17.49303226043716,31189,7062,450502,1905866,1532206,31189_20231231,1532206,1905866,139439,2736531,1264483,0.1749303226043716,1.2438706022558323,33.21696625649554,0.17473042136631758,1.1872549482490282,0.05661565400680413,0.18859737917617997,-0.013667056571808361,38.93883375281177,-5.721867496316229,0.16058275808841785,0.014147663277899736,100.0,critical,"Ponce Bank, National Association"
1335854,20240331,134972,2803740,16.255395982068737,31189,3502,453360,1989288,1611631,31189_20240331,1611631,1989288,134972,2803740,1335854,0.16255395982068738,1.2343321765342066,30.568275244147078,0.17111671344122817,1.2085755056194283,0.02575667091477829,0.18115425945722546,-0.018600299636538087,43.29348180178517,-12.725206557638092,0.15611622366988182,0.015000489771346354,91.8,critical,"Ponce Bank, National Association"
1345708,20240630,103415,2830270,16.695594875078363,31189,7559,457755,2059938,1627977,31189_20240630,1627977,2059938,103415,2830270,1345708,0.16695594875078362,1.2653360581875543,23.186123022622557,0.17338635619544993,1.2238046077006735,0.041531450486880894,0.17301440098354728,-0.006058452232763661,38.62669333751127,-15.440570314888713,0.14348347310777917,0.02990288308767075,92.2,critical,"Ponce Bank, National Association"
1596606,20240930,156061,3004704,16.194456869285442,31189,11128,465587,2189897,1898733,31189_20240930,1898733,2189897,156061,3004704,1596606,0.16194456869285442,1.1533464684081438,30.000144833423132,0.15912031865459755,1.2511253560081648,-0.09777888760002096,0.1698785500142503,-0.007933981321395889,29.279201121494026,0.720943711929106,0.1587114246733965,0.00040889398120105835,73.6,high,"Ponce Bank, National Association"
1618695,20241231,140088,3027309,15.811673558934627,31189,14721,467003,2297335,1909102,31189_20241231,1909102,2297335,140088,3027309,1618695,0.15811673558934627,1.2033589614384146,26.783335830144225,0.1521170686532202,1.2242213263464343,-0.020862364908019737,0.16659619996717429,-0.008479464377828011,29.24287733917208,-2.4595415090278543,0.1695884524143983,-0.0174713837611781,80.6,critical,"Ponce Bank, National Association"
1734060,20250331,130142,3076841,15.60961385757359,31189,6563,475771,2379498,2030903,31189_20250331,2030903,2379498,130142,3076841,1734060,0.1560961385757359,1.171645322302444,23.389511956011685,0.14616306145591396,1.2140934161420798,-0.04244809383963588,0.16239280321341795,-0.006296664637682053,27.634469732584247,-4.244957776572562,0.16393511423612395,-0.01777205278020999,79.4,critical,"Ponce Bank, National Association"
1786892,20250630,126888,3143813,15.985765647018827,31189,13454,483594,2464415,2065934,31189_20250630,2065934,2464415,126888,3143813,1786892,0.15985765647018826,1.192881766794099,22.418005609085288,0.13506820643834702,1.198421702584139,-0.005539935790040085,0.16077834790218007,-0.0009206914319918047,25.8397789105504,-3.4217733014651124,0.1576967012397954,-0.02262849480144838,71.7,high,"Ponce Bank, National Association"
1846060,20250930,146828,3145279,16.07552357393829,31189,20672,492764,2495840,2076195,31189_20250930,2076195,2495840,146828,3145279,1846060,0.1607552357393829,1.2021221513393492,25.812710270470742,0.11084459793034855,1.1803081297357754,0.02181402160357382,0.15900377483203124,0.0017514609073516763,25.647749557166083,0.16496071330465867,0.14811716380051967,-0.03727256587017112,72.0,high,"Ponce Bank, National Association"
1797923,20251231,126402,3214470,16.11637761511051,31189,31385,504790,2602646,2061697,31189_20251231,2061697,2602646,126402,3214470,1797923,0.16116377615110508,1.262380456488029,22.378036151772058,0.12794023564083373,1.1925020504685766,0.06987840601945239,0.15870644159366334,0.002457334557441737,24.600890916427986,-2.222854764655928,0.13604823361945745,-0.008107997978623716,80.6,critical,"Ponce Bank, National Association"
